sym,spread,spread_sd,slip,costo,prof_ask,n_ok,qv24,rank
STRKUSDT,0.057291998681893795,0.027014583748320335,0.2250623546534991,0.4250623546534991,138827.2026776,2,1307581.114122,168
TWTUSDT,0.0985221887322025,0.04650479506174472,0.5728894381343941,0.772889438134394,88868.85889999999,2,1269187.1952,169
SUPERUSDT,0.08904721266564039,5.6069357009487146e-05,0.6602215220947394,0.8602215220947393,86518.7929,2,1266261.9438,170
LUNCUSDT,0.03671072447751586,1.90590324671893e-05,0.3852792425727114,0.5852792425727114,72058.77552621535,2,1248751.50874377,171
EPICUSDT,0.057820184075129455,2.36398058568075e-05,0.8767701693137064,1.0767701693137064,146826.87654,2,1227527.13956,172
BFUSDUSDT,0.010000500025000148,0.0,0.010000500024998082,0.2100005000249981,6911705.1586,2,1218326.1121,173
LITEBUSDT,0.048718584343754326,0.010261825317084448,0.22662120754505244,0.42662120754505245,391954.33914,2,1199614.50896,174
SAGAUSDT,0.06531684911263638,9.050160731538817e-05,0.7002017246270364,0.9002017246270364,77427.679519,2,1194546.06029,175
ARUSDT,0.04498427599218745,4.292670256523724e-05,0.3740874618467005,0.5740874618467005,78654.534805,2,1193357.62576,176
MUUBUSDT,0.07848554342713254,0.022190700663582006,0.33426410611612223,0.5342641061161222,232293.9836,2,1183700.9453,177
SOLVUSDT,0.36036036036036134,0.0,0.940366369427903,1.140366369427903,144929.653495,2,1182304.98353,178
NEOUSDT,0.043506708877412814,8.03059966264829e-05,0.46932968927253516,0.6693296892725351,48598.567624999996,2,1150555.05892,179
AAOIBUSDT,0.0337062084866025,0.011920709839010687,0.3305808998662729,0.5305808998662729,438437.83614,2,1144762.7425,180
CFXUSDT,0.03084621455649203,0.014539051428704541,0.48555447562930176,0.6855544756293017,123186.528215,2,1118762.40111,181
RAYUSDT,0.08779080704833798,0.0,0.3542235286603468,0.5542235286603467,60908.97313,2,1081890.17548,182
SIGNUSDT,0.12383900928792065,0.0,0.9316121994704996,1.1316121994704995,151256.20163,2,1063555.71437,183
VELODROMEUSDT,0.1308900523560156,0.06170216240720059,0.8172176316148472,1.0172176316148471,34352.6035035,2,1055591.050209,184
MEGAUSDT,0.02532928105469278,4.536602443116251e-06,0.3160610204159475,0.5160610204159475,192546.4516585,2,1040437.956983,185
SOMIUSDT,0.08928573208022658,5.637013090816185e-05,0.6806033925506938,0.8806033925506938,110709.94069,2,1033624.42467,186
DYDXUSDT,0.037565915058105095,0.005895248437629024,0.4296181543347044,0.6296181543347044,91772.57230930001,2,1012876.097699,187
RUNEUSDT,0.20768431983385274,0.0,0.3487388387033663,0.5487388387033663,132172.31665,2,1006960.1729,188
COWUSDT,0.08285005564236059,4.853673253223129e-05,0.7979999880600885,0.9979999880600885,168997.829105,2,990829.67433,189
SCRTUSDT,0.7782101167315127,0.0,5.924593896199248,6.124593896199249,208609.175835,2,987866.00771,190
ALICEUSDT,0.1027514583245323,0.04841537934042646,0.9892756318076734,1.1892756318076734,62077.6502615,2,982088.380263,191
KMNOUSDT,0.055924947108026514,0.026330499056701005,0.5098431743763732,0.7098431743763731,169793.26467,2,974787.90486,192
BELUSDT,0.0852515073909193,5.139123527919541e-05,0.7734715837771577,0.9734715837771577,54247.25976,2,967311.28305,193
SUNUSDT,0.05829204313612977,0.0,0.21726049147443027,0.4172604914744303,410932.823265,2,963489.9645,194
COHRBUSDT,0.05257083836868794,0.02789039226556234,0.15095845327415813,0.35095845327415814,265574.603635,2,946613.19289,195
NIGHTUSDT,0.05096840290237416,1.8369063860338536e-05,0.690252113317319,0.8902521133173189,307394.36485,2,946174.0128,196
CFGUSDT,0.0706214777319803,3.526619055177674e-05,0.6396595299687224,0.8396595299687224,156821.261695,2,944506.70772,197
ARKUSDT,0.13299838027394195,0.06265897237008868,1.8475150900426174,2.0475150900426176,43544.89555,2,941059.2554,198
MAGICUSDT,0.21715526601520707,0.0,0.8070304669187789,1.0070304669187788,127286.77437500001,2,934384.93553,199
AMPUSDT,0.2254791431792614,0.0,1.0406701082027903,1.2406701082027902,113634.146377,2,900724.002446,200
MANTRAUSDT,0.24242424242423255,0.0,0.6932960249672271,0.893296024967227,85159.61432,2,900503.71546,201
WCTUSDT,0.038771378251010194,0.018273853406497884,0.6012081461070184,0.8012081461070184,104215.859024,2,899434.907324,202
RADUSDT,0.4210526315789478,0.0,0.8268931941533109,1.0268931941533108,476020.37340000004,2,898852.3546,203
PROVEUSDT,0.059241711358976906,2.4816478584507793e-05,0.3936890310116625,0.5936890310116625,188248.562635,2,889220.58917,204
PNUTUSDT,0.1941749403100566,0.00026660663499966154,0.5464383798250094,0.7464383798250094,130751.34651,2,881994.14363,205
ROBOUSDT,0.07366486502033043,7.674243181907406e-05,0.7191087082794922,0.9191087082794922,59713.49889,2,877200.5584,206
ALTUSDT,0.1550388528567047,0.0001699674793834752,0.5841415395785532,0.7841415395785531,89621.90411999999,2,874756.1575,207
KAIAUSDT,0.3067491878438854,0.0006653510148557916,0.799702351285575,0.9997023512855749,77069.40491,2,868412.51765,208
AUSDT,0.12763241863433678,0.0,1.391404873272828,1.5914048732728279,27644.686700000002,2,860479.60189,209
NEXOUSDT,0.22896401320048984,0.00018534860490181917,0.443926801705935,0.643926801705935,305557.74996,2,854532.59229,210
AXSUSDT,0.1580888908392322,0.07447144690938969,0.2871584933993976,0.4871584933993976,76075.44696999999,2,853324.97667,211
BROCCOLI714USDT,0.0864304378610781,0.04069673234149727,1.0437970048606249,1.2437970048606248,244872.350635,2,852683.413,212
TRBUSDT,0.08371314441210795,0.039448070909779004,0.2616401141845748,0.4616401141845748,100206.19549,2,850952.96882,213
QNTUSDT,0.06335756371034837,0.02243353801900168,0.7291994250771539,0.9291994250771538,36210.382110000006,2,848337.69664,214
AAPLBUSDT,0.011220954416148333,0.002265604579723983,0.14094537043740085,0.34094537043740086,171809.65115,2,839992.77344,215
GRTUSDT,0.05574136441903266,2.197051102191521e-05,1.0201283007548911,1.220128300754891,64516.329035,2,825020.05339,216
MMTUSDT,0.06161430036401301,2.684404781605931e-05,0.44396617520534587,0.6439661752053458,65313.831535000005,2,817322.41373,217
CTSIUSDT,0.05761475362665051,0.02713898720605903,1.0908734855023805,1.2908734855023805,60805.10389,2,808159.94269,218
ENJUSDT,0.09220675145707505,0.026183858469686017,1.1159063858368456,1.3159063858368456,36578.223924,2,799970.49721,219
AXTIBUSDT,0.08559608329533562,0.020158400042157017,0.43336818307259106,0.633368183072591,202533.05765,2,794398.8977,220
DIAUSDT,0.06877579905451439,3.3446928399569046e-05,1.0231063020489761,1.223106302048976,108699.31610499999,2,794398.63703,221
SYRUPUSDT,0.05142710208280624,0.0,0.4977668100910049,0.6977668100910048,326759.474205,2,785129.43862,222
ZBTUSDT,0.1912858833782134,0.09024967534752665,0.636144768020569,0.8361447680205689,126312.61106,2,753574.93957,223
API3USDT,0.0858369098712471,0.0,0.9512997853157901,1.15129978531579,146689.9288655,2,746416.995584,224
ZKUSDT,0.1147446930579414,0.0,0.4277634678297393,0.6277634678297392,66890.1689965,2,720182.568896,225
DODOUSDT,0.1238666222476727,0.03501394012355993,1.0185731343620885,1.2185731343620885,451255.6481355,2,718678.512926,226
AVNTUSDT,0.09302327593797474,6.118826904552768e-05,0.6079022406574375,0.8079022406574374,75470.58541500001,2,714125.82802,227
ERAUSDT,0.17467248908296232,0.0,0.7910293340875618,0.9910293340875618,117263.45968,2,709480.67493,228
SOXSBUSDT,0.1003232663436245,0.04727175195653727,0.39643130602726173,0.5964313060272617,219440.49915,2,707080.3692,229
SYNUSDT,0.06258701523281626,0.012648362639388287,0.5982344583653487,0.7982344583653487,42718.377624,2,704544.457534,230
DOGSUSDT,0.06143868498029051,0.017444084339017122,0.9522996638086423,1.1522996638086422,33772.727424815,2,703707.41293146,231
KERNELUSDT,0.2663115845539357,0.0,0.8856358428260158,1.0856358428260158,64958.054875,2,703354.30118,232
AIGENSYNUSDT,0.07467020761563943,0.03518819077215833,0.5622582820988598,0.7622582820988597,120532.70121500001,2,698833.09833,233
IOTAUSDT,0.23310054974237904,0.0003842120732542283,0.6161319650444252,0.8161319650444252,107857.56169999999,2,691889.5864,234
TURBOUSDT,0.09823204038707327,0.00020469707823882465,1.1741036457505405,1.3741036457505404,55410.8913605,2,688987.528719,235
OGNUSDT,0.08033565640501127,0.03780295347535247,1.3928690444082847,1.5928690444082847,66067.916515,2,688945.48413,236
MINAUSDT,0.16194331983806132,0.0,0.8624121728166012,1.0624121728166012,76136.17056,2,684279.90556,237
HMSTRUSDT,0.08145534733129278,0.038440111069010054,0.7062071466237274,0.9062071466237274,58682.079830949995,2,674962.5517701,238
PIXELUSDT,0.1941749403100583,0.0002666066350210835,0.8463554685788188,1.0463554685788188,101715.83004649999,2,670151.757737,239
COINBUSDT,0.03530846303732878,0.0038080203280833726,0.3539106241449763,0.5539106241449763,264232.324815,2,664322.59407,240
SNXUSDT,0.06566946439858838,0.03096591694448661,0.36382487764868854,0.5638248776486885,177102.62483,2,656084.25733,241
FORMUSDT,0.10421444139477914,0.02943205503338625,0.8410377706988048,1.0410377706988048,39140.591275,2,656029.69437,242
USDSUSDT,0.010003501225427798,0.0,0.010003501225408495,0.2100035012254085,805106.331,2,652582.9402,243
SCRUSDT,0.04366812435251459,1.3483854520253146e-05,0.7331730032098693,0.9331730032098693,78877.9491465,2,641235.591177,244
