hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,lado
chop alto,20170,53.69856222112047,2.4485622211204756,1.825366263877959e-12,0.4385,51.770908690960994,1.9276535301594748,2.1519672799551586,2.3374101262004174,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),corto
cambios alto | vol,23076,53.69214768590743,2.442147685907436,6.064577433159906e-14,0.407,51.59211472248272,2.1000329634247095,2.170092763543032,2.3427355676434516,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),corto
tam_24 alto | vol,19469,53.51584570342596,2.265845703425967,1.3253781425581768e-10,0.5395,51.663422424813156,1.8524232786128039,1.5818438510883297,1.9643971704982945,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
camino bajo | vol,19008,53.40909090909091,2.1590909090909136,1.3566819632329295e-09,0.558,51.29316388740296,2.115927021687945,1.7897651454496994,2.0115579480684005,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
tam alto | vol,19942,53.0337980142413,1.783798014241306,2.4204564031312726e-07,0.559,51.65109938971695,1.3826986245243518,1.3279792055451978,1.6005078344306654,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),corto
centro_24 alto | vol,21115,52.8344778593417,1.5844778593417104,2.1188967600748267e-06,0.448,51.26062364125371,1.5738542180879946,1.203271028037392,1.3990225274989285,49,49,0.5714285714285714,False,muere en la correccion (FDR q=0.05),corto
chop_24 alto | vol,19903,52.7458172134854,1.4958172134854095,1.250181848119917e-05,0.515,52.0611129099279,0.6847043035575027,1.0076825789785318,1.3041437316734488,49,49,0.5714285714285714,False,muere en la correccion (FDR q=0.05),corto
v_h alto,22035,52.62536873156343,1.3753687315634338,2.2733386815819664e-05,0.4035,52.28826338479189,0.33710534677153703,0.8818875423188288,1.173051735428956,49,49,0.5714285714285714,False,muere en la correccion (FDR q=0.05),corto
centro_24 alto,20849,52.56846851167922,1.318468511679228,7.182890985108571e-05,0.444,51.28144167639498,1.2870268352842444,0.9445198716366434,1.1325748357264658,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),corto
efic_h_24 bajo | vol,20405,52.443028669443756,1.1930286694437626,0.00033392036531857707,0.549,51.51373150535334,0.9292971640904142,0.7582601961796627,0.983213429256601,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
roll_sp alto,23344,52.257539410555175,1.0075394105551823,0.0010588728960460824,0.7575,51.11255678833959,1.1449826222155863,0.6827580007191756,0.8747818499127433,49,49,0.46938775510204084,False,muere en la correccion (FDR q=0.05),corto
efic_h bajo | vol,21472,52.04452309985097,0.7945230998509771,0.010106164446707406,0.5905,51.35942511852306,0.6850979813279068,0.5620422334252879,0.7058581826719958,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
chop_24 alto,19304,52.01512639867385,0.765126398673857,0.017020720167148815,0.5025,52.06027268741842,-0.04514628874456861,0.20129224652087885,0.542362514626106,49,49,0.5918367346938775,False,muere en la correccion (FDR q=0.05),corto
