ranking,objetivo,semanas,spread,sd_sem,sem_ok,p,spread_crudo,atr_ratio,atr_propio,sin_top3,sin_top1,fdr_ok,veredicto
beta_T10 x d_T10 ~ sin roc_168 [bajo],largo,194,-0.6278682646385958,2.2037506927297565,0.3247422680412371,1.0,-0.0078567249492925,1.0865382066171003,0.8168270996795888,-0.7125776479618063,-0.6638085253187394,False,spread <= 0
beta_VIX ~ sin roc_168,magnitud,195,7.499613712226266,69.21397158610138,0.5282051282051282,0.0,-0.04182852746017056,0.7837584002918907,0.8101016561838261,0.4286785444127805,1.325565222444635,True,ARTEFACTO DE ESCALA (atr_ratio 0.78)
beta_NDX ~ sin roc_168 [bajo],magnitud,195,7.481802923919964,69.23970077303116,0.49230769230769234,0.0,-0.040807573515333644,0.8098259781851291,0.8131149272644234,0.36412621385712474,1.3042000061667371,True,ARTEFACTO DE ESCALA (atr_ratio 0.81)
beta_NDX [bajo],magnitud,195,7.4776329107652435,69.22964560552677,0.5025641025641026,0.0,-0.04469917369219874,0.7791046011888275,0.811735898297096,0.4720509365955717,1.3582524383389352,True,ARTEFACTO DE ESCALA (atr_ratio 0.78)
beta_VIX,magnitud,195,7.43887134659437,69.25998715467848,0.5128205128205128,0.0,-0.04547730207660506,0.7567552462659907,0.8006193936638284,0.3258852929131394,1.2804244898631427,True,ARTEFACTO DE ESCALA (atr_ratio 0.76)
CTRL roc_24,magnitud,203,6.473221638668739,67.11604728657413,0.7093596059113301,0.0025,0.03618388459547421,1.3013586288623065,0.9846977221472808,1.856527740822765,2.200180459307374,True,SOBREVIVE
beta_NDX x d_NDX,magnitud,194,6.3242623430129274,69.26287322961939,0.4536082474226804,0.0165,0.001790458103364519,0.9863821497209445,0.813572039197104,0.021700943666648462,0.47227394067189454,False,muere en la correccion (FDR q=0.1)
beta_DXY ~ sin roc_168,magnitud,195,6.285224287890294,68.79900751531903,0.4564102564102564,0.015,-0.007438664484870476,0.9759230254233353,0.8122969926741049,0.052664907497810276,0.2639199889975647,False,ARTEFACTO DE ESCALA (atr_ratio 0.98)
beta_DXY,magnitud,195,6.263426743159568,68.8208238092523,0.48205128205128206,0.0175,-0.01029454439368055,0.958566119585955,0.8118630166146388,0.03563399647302317,0.24986786580253886,False,ARTEFACTO DE ESCALA (atr_ratio 0.96)
beta_DXY x d_DXY,magnitud,194,6.214302529228246,69.02203645895865,0.5154639175257731,0.021,0.007128588737102486,1.0285426131262092,0.8154680440684474,0.07586164706866438,0.43861755779540096,False,muere en la correccion (FDR q=0.1)
